,hardware_spec,embedding,horizon,lambda,time
501,fake_almaden,8,5,0.500000499999,46
502,fake_almaden,8,6,0.9753628032029742,190
503,fake_almaden,8,7,0.9753648117596698,777
504,fake_singapore,0,4,0.500002000003,11
505,fake_singapore,0,5,0.500002000003,46
506,fake_singapore,0,6,0.9759048906587986,190
507,fake_singapore,0,7,0.9759068820805374,777
508,fake_singapore,1,4,0.500002000003,11
509,fake_singapore,1,5,0.500002000003,46
510,fake_singapore,1,6,0.9795162821895443,190
511,fake_singapore,1,7,0.9795172617058265,778
512,fake_singapore,2,4,0.5000010000005,11
513,fake_singapore,2,5,0.5000015000015,46
514,fake_singapore,2,6,0.9682873397304166,190
515,fake_singapore,2,7,0.9682904046429036,778
516,fake_singapore,3,4,0.500004000012,11
517,fake_singapore,3,5,0.50000500002,46
518,fake_singapore,3,6,0.9684600620940584,191
519,fake_singapore,3,7,0.9684610305541206,777
520,fake_singapore,4,4,0.500004000012,10
521,fake_singapore,4,5,0.50000500002,46
522,fake_singapore,4,6,0.9704017661173621,191
523,fake_singapore,4,7,0.9704027365191281,778
524,fake_singapore,5,4,0.500002000003,11
525,fake_singapore,5,5,0.500002000003,46
526,fake_singapore,5,6,0.9622518254889236,190
527,fake_singapore,5,7,0.9622547877387492,778
528,fake_mumbai,0,4,0.5000010000005,26
529,fake_mumbai,0,5,0.5000015000015,142
530,fake_mumbai,0,6,0.9692877042495016,777
531,fake_mumbai,0,7,0.9692927125145521,4209
532,fake_mumbai,1,4,0.500002000003,12
533,fake_mumbai,1,5,0.500002500005,53
534,fake_mumbai,1,6,0.9832595123631466,242
535,fake_mumbai,1,7,0.9832635298622753,1079
536,fake_mumbai,2,4,0.5,11
537,fake_mumbai,2,5,0.5000030000045,46
538,fake_mumbai,2,6,0.9842146980225268,190
539,fake_mumbai,2,7,0.9842146980225268,776
540,fake_mumbai,3,4,0.5,11
541,fake_mumbai,3,5,0.5000010000005,46
542,fake_mumbai,3,6,0.9883623409999027,190
543,fake_mumbai,3,7,0.9883623409999027,775
544,fake_mumbai,4,4,0.500002000003,11
545,fake_mumbai,4,5,0.500002500005,46
546,fake_mumbai,4,6,0.9889658159763153,190
547,fake_mumbai,4,7,0.9889668049421312,776
548,fake_mumbai,5,4,0.500002000003,11
549,fake_mumbai,5,5,0.500002500005,45
550,fake_mumbai,5,6,0.9893242823009593,190
551,fake_mumbai,5,7,0.9893252716252416,776
552,fake_mumbai,6,4,0.500002000003,11
553,fake_mumbai,6,5,0.500002000003,46
554,fake_mumbai,6,6,0.9835183492460398,190
555,fake_mumbai,6,7,0.9835193567093257,776
556,fake_mumbai,7,4,0.5,10
557,fake_mumbai,7,5,0.5000009999945,46
558,fake_mumbai,7,6,0.9841961347964934,190
559,fake_mumbai,7,7,0.9841961624157396,776
560,fake_paris,0,4,0.500004000012,10
561,fake_paris,0,5,0.50000500002,46
562,fake_paris,0,6,0.9728563694132007,190
563,fake_paris,0,7,0.9728573422695702,774
564,fake_paris,1,4,0.5,11
565,fake_paris,1,5,0.500001999999,46
566,fake_paris,1,6,0.9730940895662423,189
567,fake_paris,1,7,0.9730940895662423,774
568,fake_paris,2,4,0.5,11
569,fake_paris,2,5,0.500001999999,46
570,fake_paris,2,6,0.9638227437560709,189
