,hardware_spec,embedding_index,horizon,hcxh,hcxh2,twoq,twoq2,h-h2,h-q,h-q2,h2-q,h2-q2,q-q2
916,fake_sydney,0,3,0.810357914514,0.810345582774794,0.81035547947376,0.810358308397486,1.2331739206006276e-05,2.435040240000852e-06,-3.9388348604951773e-07,-9.896698966005424e-06,-1.2725622692055794e-05,-2.8289237260503697e-06
917,fake_sydney,0,4,0.8317583749245541,0.8317877643503804,0.8103797862612515,0.8434473259401034,-2.9389425826309434e-05,0.021378588663302556,-0.011688951015549343,0.021407978089128865,-0.011659561589723033,-0.0330675396788519
918,fake_sydney,0,5,0.8317583749245541,0.8373163242347558,0.8103878880812981,0.8434473679341882,-0.005557949310201704,0.02137048684325593,-0.011688993009634108,0.026928436153457636,-0.006131043699432404,-0.03305947985289004
919,fake_sydney,0,6,0.8317583749245541,0.8379460421329071,,,-0.006187667208353065,,,,,
920,fake_sydney,1,2,0.834429358056,0.8344290376,,0.834430357328,3.204560000691359e-07,,-9.992719999241118e-07,,-1.3197279999932476e-06,
921,fake_sydney,1,3,0.834430357328,0.834437381890376,0.834455719180608,0.8344305735704608,-7.024562376001242e-06,-2.5361852608041247e-05,-2.162424608265212e-07,-1.8337290232040004e-05,6.808319915174721e-06,2.5145610147214725e-05
922,fake_sydney,1,4,0.8438757130674873,0.8438528281521085,0.8344724114959996,0.8518123305369049,2.2884915378829085e-05,0.009403301571487721,-0.00793661746941754,0.009380416656108892,-0.007959502384796369,-0.01733991904090526
923,fake_sydney,1,5,0.8438757130674873,0.8499685210188929,0.8344890977431575,0.8518123417759381,-0.006092807951405543,0.009386615324329828,-0.0079366287084508,0.015479423275735371,-0.0018438207570452558,-0.017323244032780627
924,fake_sydney,1,6,0.8438757130674873,0.8502017067118183,,,-0.006325993644330952,,,,,
925,fake_sydney,2,2,0.841889105758,0.8418794206,,0.841889105758,9.685158000038996e-06,,0.0,,-9.685158000038996e-06,
926,fake_sydney,2,3,0.841890105758,0.8418794206,0.8418794206,0.841889105758,1.0685158000067752e-05,1.0685158000067752e-05,1.0000000000287557e-06,0.0,-9.685158000038996e-06,-9.685158000038996e-06
927,fake_sydney,2,4,0.841890105758,0.8418794206,0.8418794206,0.8527202865457993,1.0685158000067752e-05,1.0685158000067752e-05,-0.010830180787799293,0.0,-0.01084086594579936,-0.01084086594579936
928,fake_sydney,2,5,0.841890105758,0.8500726530804769,0.8418794206,0.852720292981396,-0.008182547322476807,1.0685158000067752e-05,-0.010830187223395904,0.008193232480476875,-0.0026476399009190965,-0.010840872381395972
929,fake_sydney,2,6,0.841890105758,0.8500834266816247,,,-0.00819332092362468,,,,,
930,fake_sydney,3,2,0.810992593128,0.8109960824,,0.810992593128,-3.4892720000012645e-06,,0.0,,3.4892720000012645e-06,
931,fake_sydney,3,3,0.810992593128,0.811004192360824,0.811014183660736,0.810992593128,-1.1599232824011096e-05,-2.1590532735982215e-05,0.0,-9.991299911971119e-06,1.1599232824011096e-05,2.1590532735982215e-05
