horizon,alg_index,hardware_spec,embedding_index,acc
4,0,fake_poughkeepsie,3,0.667502246951024
4,0,fake_singapore,0,0.9466073704851325
4,0,fake_singapore,1,0.957445297502648
4,0,fake_singapore,2,0.803548661734104
4,0,fake_singapore,3,0.9337066284596774
4,0,fake_tokyo,0,0.91138671612896
4,0,fake_tokyo,1,0.827608331826944
4,0,fake_tokyo,2,0.675094564915924
4,0,fake_tokyo,3,0.9498428759733
4,0,fake_tokyo,4,0.938557902207852
4,0,fake_hanoi,0,0.9664385263137157
4,0,fake_hanoi,1,0.9874406683716217
4,0,fake_hanoi,2,0.8803110975963823
4,0,fake_hanoi,3,0.9026161081717413
4,0,fake_cairo,0,0.9855945484815524
4,0,fake_cairo,1,0.849557739564032
4,0,fake_cairo,2,0.9859151968053071
4,0,fake_cairo,3,0.9892237158030035
4,0,fake_mumbai,0,0.9553678260169067
4,0,fake_mumbai,1,0.9728002157159765
4,0,fake_mumbai,2,0.9389196163602529
4,0,fake_mumbai,3,0.8636585799205644
4,0,fake_kolkata,0,0.9898025670742574
4,0,fake_kolkata,1,0.919526596781022
4,0,fake_kolkata,2,0.9897421694851979
4,0,fake_kolkata,3,0.9713701012386362
4,0,fake_auckland,0,0.8217095601848349
4,0,fake_auckland,1,0.9903542573192274
4,0,fake_geneva,0,0.8149469053884052
4,0,fake_geneva,1,0.9792492421377781
4,0,fake_montreal,0,0.9841407703141846
4,0,fake_montreal,1,0.9833096186575102
4,0,fake_montreal,2,0.8698053413658237
4,0,fake_paris,0,0.979616993867433
4,0,fake_paris,1,0.8194741360258522
4,0,fake_paris,2,0.9694051191626409
4,0,fake_sydney,0,0.8185527428941953
4,0,fake_sydney,1,0.9809512912129096
4,0,fake_toronto,0,0.9856094548819372
4,0,fake_toronto,1,0.9767289993356385
4,0,fake_toronto,2,0.7088652098366295
4,0,fake_brooklyn,0,0.8115645170083398
4,0,fake_brooklyn,1,0.9745085536669985
4,0,fake_brooklyn,2,0.8943144700536608
4,0,fake_brooklyn,3,0.9788432137851074
4,0,fake_manhattan,0,0.9222932746187118
4,0,fake_manhattan,1,0.97698791304178
4,0,fake_manhattan,2,0.7682923768756519
4,0,fake_manhattan,3,0.5085336770510333
4,0,fake_manhattan,4,0.9844022514538318
4,0,fake_cambridge,0,0.530947867951
4,0,fake_cambridge,1,0.885075778545068
4,0,fake_cambridge,2,0.692906231205464
4,0,fake_cambridge,3,0.958750290080852
4,0,fake_guadalupe,0,0.8751327889115181
4,0,fake_guadalupe,1,0.9724994038218501
4,0,fake_melbourne,0,0.931220316031853
4,0,fake_melbourne,1,0.9425812145552352
4,0,fake_melbourne,2,0.8678595206946894
4,0,fake_melbourne,3,0.887366313669011
4,0,fake_rochester,0,0.7934612274173125
4,0,fake_rochester,1,0.7425438061458594
