horizon,diff_index,real_hardware,acc,ins
4,1,fake_manhattan3,0.18,-1
4,0,fake_manhattan4,0.5,-1
4,1,fake_manhattan4,0.502,-1
4,0,fake_manhattan5,0.494,-1
4,1,fake_manhattan5,0.5,-1
4,0,fake_manhattan6,0.975,-1
4,1,fake_manhattan6,0.027,-1
4,0,fake_washington0,0.969,-1
4,1,fake_washington0,0.032,-1
4,0,fake_washington1,0.97,-1
4,1,fake_washington1,0.029,-1
4,0,fake_washington2,0.972,-1
4,1,fake_washington2,0.026,-1
4,0,fake_washington3,0.905,-1
4,1,fake_washington3,0.092,-1
4,0,fake_washington4,0.476,-1
4,1,fake_washington4,0.514,-1
4,0,fake_washington5,0.715,-1
4,1,fake_washington5,0.286,-1
4,0,fake_washington6,0.979,-1
4,1,fake_washington6,0.018,-1
5,0,fake_athens0,0.984,-1
5,1,fake_athens0,0.968,-1
5,2,fake_athens0,0.977,-1
5,3,fake_athens0,0.971,-1
5,4,fake_athens0,0.979,-1
5,5,fake_athens0,0.976,-1
5,6,fake_athens0,0.018,-1
5,7,fake_athens0,0.031,-1
5,8,fake_athens0,0.976,-1
5,0,fake_athens1,0.962,-1
5,1,fake_athens1,0.947,-1
5,2,fake_athens1,0.951,-1
5,3,fake_athens1,0.944,-1
5,4,fake_athens1,0.966,-1
5,5,fake_athens1,0.952,-1
5,6,fake_athens1,0.035,-1
5,7,fake_athens1,0.053,-1
5,8,fake_athens1,0.953,-1
5,0,fake_athens2,0.965,-1
5,1,fake_athens2,0.951,-1
5,2,fake_athens2,0.954,-1
5,3,fake_athens2,0.951,-1
5,4,fake_athens2,0.969,-1
5,5,fake_athens2,0.957,-1
5,6,fake_athens2,0.031,-1
5,7,fake_athens2,0.055,-1
5,8,fake_athens2,0.959,-1
5,0,fake_belem0,0.964,-1
5,1,fake_belem0,0.933,-1
5,2,fake_belem0,0.954,-1
5,3,fake_belem0,0.931,-1
5,4,fake_belem0,0.972,-1
5,5,fake_belem0,0.948,-1
5,6,fake_belem0,0.034,-1
5,7,fake_belem0,0.074,-1
5,8,fake_belem0,0.953,-1
5,0,fake_belem1,0.975,-1
5,1,fake_belem1,0.931,-1
5,2,fake_belem1,0.953,-1
5,3,fake_belem1,0.935,-1
5,4,fake_belem1,0.975,-1
5,5,fake_belem1,0.95,-1
5,6,fake_belem1,0.026,-1
5,7,fake_belem1,0.069,-1
5,8,fake_belem1,0.953,-1
5,0,fake_belem2,0.968,-1
5,1,fake_belem2,0.928,-1
5,2,fake_belem2,0.949,-1
5,3,fake_belem2,0.927,-1
5,4,fake_belem2,0.972,-1
